TheTime,O3,NO,NO2,NOx,T,RH,P,Lite,O3CellP,O3CellT,O3Flow,NOxReacT,NOxConvT,NOxFlow
938,31.25,0.2655386,1.071463,1.389726,31.94233,19.88967,1015.709,2.487628,974.9833,37.3,1790,50.01429,339.6723,1
939,30.21667,0.3935274,0.9323018,1.273027,32.61695,20.28288,1015.674,2.489961,974.9667,37.3,1790.5,50.01723,339.5127,1
940,30.08333,2.588089,-0.1016046,2.503786,33.4015,19.63133,1015.668,2.490365,974.95,37.3,1789.333,50.02692,339.6124,1
941,30.58333,0.2993461,0.8692206,1.183436,34.21667,18.90517,1015.637,2.493712,974.8667,37.3,1792.667,50.00578,339.5925,1
942,29.76667,0.5777919,1.027969,1.522371,33.54339,19.10237,1015.619,2.4951,974.9,37.36667,1794,50.023,339.5326,1
943,28.1,0.7320763,1.27862,2.048416,33.192,20.20517,1015.632,2.494692,974.85,37.4,1793.333,50.01559,339.7122,1
944,29.81667,0.5556812,1.466809,2.057501,33.98317,19.615,1015.637,2.497142,974.9,37.4,1793,50.00675,339.5925,1
945,29.66667,0.3055998,1.0599,1.374038,35.69559,18.25085,1015.658,2.498588,974.9167,37.4,1793.667,50.0187,339.6124,1
946,28.06667,0.9332218,3.896985,4.700939,36.61483,17.258,1015.682,2.500898,974.9167,37.4,1790.5,50.00794,339.6523,1
947,29.55,0.4424587,1.098695,1.644573,37.39217,16.9385,1015.662,2.501552,974.8833,37.4,1790,49.99645,339.6723,1
948,26.71667,0.6046291,1.494111,2.05737,37.71847,16.65068,1015.652,2.504651,974.9,37.4,1788,50.00149,339.7321,1
949,26.7,0.8831321,2.304799,3.172665,38.44283,16.37317,1015.664,2.505227,974.8833,37.5,1789.333,50.00615,339.6723,1
950,26.63333,0.789589,2.326969,3.101812,37.70867,16.25267,1015.679,2.515028,974.9167,37.5,1793,50.00598,339.7122,1
951,30.11667,0.4612967,1.740047,2.299344,35.13305,17.51492,1015.672,2.526642,974.9333,37.5,1790.333,49.9975,339.7321,1
952,28.46667,2.859213,1.169822,3.177896,33.09283,19.276,1015.632,2.54101,974.9167,37.5,1793.667,50.00607,339.5526,1
953,30.16667,0.3309664,0.2598322,1.439775,32.82467,20.02,1015.634,2.554762,974.9167,37.5,1791.167,50.00378,339.7122,1
954,29.5,0.3084154,1.133501,1.447089,32.78153,20.24288,1015.64,2.567395,974.9,37.5,1791.5,50.00192,339.792,1
955,29.05,0.6832187,2.297684,2.985433,32.96967,20.21133,1015.627,2.568708,974.9167,37.5,1790.833,50.01057,339.7122,1
956,29.46667,0.3441654,1.102356,1.434247,33.51424,20.19932,1015.66,2.574619,974.9,37.5,1791.5,50.01215,339.8119,1
957,29.56667,0.2785897,0.9665441,1.257523,34.546,19.29667,1015.662,2.572163,974.9333,37.6,1796,49.98628,339.772,1
958,29.35,0.9359711,0.81974,1.558606,35.34983,18.25967,1015.656,2.574512,974.8833,37.6,1794,49.99453,339.8319,1
959,27.91667,0.8190693,4.104173,5.100127,34.91593,18.72017,1015.682,2.575525,974.9167,37.6,1792.667,49.98859,339.8518,1
960,28.16667,3.862869,-1.712572,2.137692,35.03883,18.5005,1015.689,2.57224,974.9167,37.6,1794.167,49.99701,339.7521,1
961,30.43333,0.32873,1.003741,1.352702,34.79617,18.265,1015.721,2.576548,975,37.6,1795.167,49.99637,339.9117,1
962,29.2,0.2764116,0.9851291,1.2811,35.33695,18.09339,1015.754,2.580841,974.9333,37.6,1789,49.97675,339.9316,1
963,29.91667,0.2818062,1.034918,1.299107,34.873,18.46383,1015.704,2.58741,974.9667,37.6,1794.167,49.98432,339.8319,1
964,30.1,0.2773041,0.87907,1.167188,35.47167,18.176,1015.727,2.589697,974.95,37.6,1792.333,49.97529,339.8917,1
965,29.48333,0.3105408,0.9639589,1.269401,35.85085,18.11678,1015.749,2.593963,974.9333,37.6,1793.667,49.9805,339.8718,1
966,29.05,0.4271038,1.246896,1.652994,35.676,18.2685,1015.713,2.597938,974.9333,37.6,1793.5,49.98335,339.8518,1
967,28.15,0.4467991,1.572607,2.001037,36.18867,17.75567,1015.719,2.60026,974.9,37.6,1797.167,49.98289,339.9117,1
968,28.43333,0.4154588,1.345354,1.77961,36.60407,17.62746,1015.705,2.607068,974.9,37.6,1793.5,49.96331,339.8119,1
969,27.26667,0.5304256,1.443085,1.951289,37.3905,17.2605,1015.671,2.60789,974.8833,37.6,1795.333,49.99236,339.8917,1
970,27.96667,0.7101875,1.828523,2.550974,37.7405,17.01567,1015.664,2.607727,974.9,37.6,1792.667,49.9742,339.8917,1
971,28.03333,0.4693651,1.510321,1.984788,37.74932,16.56288,1015.69,2.606154,974.9,37.6,1790.5,49.98682,339.9117,1
972,27.73333,0.4481766,1.261035,1.710822,36.99983,17.15483,1015.72,2.603562,974.95,37.6,1792,49.98495,339.8718,1
973,27.91667,0.421765,1.322569,1.746899,36.712,18.02533,1015.775,2.603725,974.9,37.6,1792.167,49.98624,339.8718,1
974,28.1,0.4144729,1.27907,1.707205,36.16305,18.15237,1015.779,2.61122,974.9333,37.6,1790.833,49.98023,339.8718,1
975,29.06667,0.2865542,1.133925,1.43394,35.22817,18.79233,1015.782,2.621038,974.9667,37.6,1788.5,50.0145,339.8917,1
976,27.58333,1.332979,0.5163016,1.532736,34.98433,19.222,1015.763,2.630282,974.9667,37.6,1788.333,49.97277,339.772,1
977,28.4,0.4361013,0.9543066,1.711108,35.17949,18.9761,1015.785,2.633378,975,37.6,1787.833,49.99897,339.8917,1
978,29.01667,0.2914788,0.8850874,1.164945,35.48933,18.565,1015.789,2.634903,975,37.6,1789.5,49.99494,339.9316,1
979,29.55,0.2792841,0.9302574,1.223319,35.27133,18.6165,1015.78,2.63523,975,37.63333,1794,49.99368,339.8518,1
980,29.56667,0.2642323,0.950069,1.216261,34.53441,19.12203,1015.76,2.640437,975,37.63333,1793,49.99907,339.8718,1
981,28.96667,0.2388875,0.9105751,1.150998,34.692,19.57983,1015.769,2.650158,975,37.6,1792.5,49.98696,339.792,1
982,29.3,0.235646,0.8309138,1.060352,35.50136,18.8039,1015.789,2.669837,974.9833,37.6,1790.333,49.99355,339.8917,1
983,29.11667,0.278691,0.9802682,1.257959,35.88717,18.54067,1015.813,2.654993,975,37.6,1792.833,49.98979,339.9117,1
